ErrorCode,DecErrorCode,ErrorString,Description
0x00000000,-4294967296,Success,The requested process completed successfully
0x00000001,-4294967295,ERROR_INVALID_FUNCTION,Invalid function referenced
0x0000007B,-4294967173,Error_Invalid_Name,The filename directory name or volume label syntax is incorrect
0x00000275,-4294966667,Error_cant_enable_Deny_only,A group marked use for deny only can not be enabled
0x0000041D,-4294966243,ERROR_SERVICE_REQUEST_TIMEOUT,The service did not respond to the start or control request in a timely fashion.
0x000004C3,-4294966077,Error_Session_Credential_Conflict,Multiple connections to a server or shared resource by the same user using more than one user name are not allowed.
0x000004C5,-4294966075,Error_Dup_Domainename,The workgroup or domain name is already in use by another computer on the network.
0x000005D5,-4294965803,NULL,
0x00000619,-4294965735,error_Invalid_HW_Profile,The specified hardware profile configuration is invalid
0x00000641,-4294965695,Error_Install_Service_failure,The Windows Installer Service could not be accessed. This can occur if you are running Windows in safe mode or if the Windows Installer is not correctly installed.
0x00000643,-4294965693,ERROR_INSTALL_FAILURE,Fatal error during installation
0x00000652,-4294965678,ERROR_INSTALL_ALREADY_RUNNING,Another installation is already in progress. Complete that installation before proceeding with this install.
0x000006D9,-4294965543,EPT_S_Not_Registered,There are no more endpoints available from the endpoint mapper.
0x000006F6,-4294965514,RPC_X_BYTE_Count_TOO_Small,The byte count is too small
0x00000963,-4294964893,NERR_BADPasswordCore,This share name or password is invalid
0x00000BC2,-4294964286,Error_Success_Reboot_Required,Proces completed successfully but requires a system reboot.
0x00000C0B,-4294964213,NULL,
0x00000CC4,-4294964028,NULL,
0x00000D47,-4294963897,NULL,
0x00000E5C,-4294963620,NULL,
0x00000E74,-4294963596,NULL,
0x0000109F,-4294963041,NULL,
0x00001112,-4294962926,Error_No_Media_In_Drive,No media in drive
0x0000117A,-4294962822,NULL,
0x00001190,-4294962800,Error_Shutdown_IS_Scheduled,A system shutdown has already been scheduled
0x00001234,-4294962636,Error_Port_Unreachable,No Service is operating at the destination network endpoint on the remote system
0x00001396,-4294962282,Error_Wrong_Target_Name,Logon failure: The target account name is incorrect.
0x000013D7,-4294962217,Error_Cluster_restype_Note_Supported,The specified node does not support a resource of this type. This amy be due to version inconsistancies or due to the absence of the resource DLL on this node.
0x00001449,-4294962103,Error_Invalid_Showwin_Command,Cannot show or remove the window in the way specified
0x00001633,-4294961613,NULL,
0x000017C7,-4294961209,NULL,
0x000017D2,-4294961198,NULL,
0x000018BE,-4294960962,NULL,
0x00001AD4,-4294960428,NULL,
0x00001ADA,-4294960422,NULL,
0x00001C70,-4294960016,NULL,
0x00001CE8,-4294959896,NULL,
0x00001D7A,-4294959750,NULL,
0x00001F1D,-4294959331,NULL,
0x00001F59,-4294959271,NULL,
0x00002075,-4294958987,NULL,
0x0000229A,-4294958438,NULL,
0x000022CA,-4294958390,NULL,
0x0000230B,-4294958325,NULL,
0x00002685,-4294957435,NULL,
0x000028A5,-4294956891,NULL,
0x00002ABF,-4294956353,NULL,
0x00002BBE,-4294956098,NULL,
0x00002D49,-4294955703,NULL,
0x00002DA4,-4294955612,NULL,
0x00002DDC,-4294955556,NULL,
0x00002EBD,-4294955331,NULL,
0x00002ED7,-4294955305,NULL,
0x000032D8,-4294954280,NULL,
0x000035DD,-4294953507,NULL,
0x000036F8,-4294953224,NULL,
0x000037A1,-4294953055,NULL,
0x000037FA,-4294952966,NULL,
0x0000384E,-4294952882,NULL,
0x000038F5,-4294952715,NULL,
0x0000399D,-4294952547,NULL,
0x00003A5C,-4294952356,NULL,
0x00003D16,-4294951658,NULL,
